Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2020-01-01 00:00:00+07:00,24154.50390625,24154.50390625,24154.50390625,24154.50390625,20970.998046875,0,0.0,0.0
2020-01-02 00:00:00+07:00,24154.50390625,24444.5234375,24030.208984375,24278.796875,21078.908203125,2164349,0.0,0.0
2020-01-03 00:00:00+07:00,24403.091796875,24485.955078125,23781.62109375,23864.482421875,20719.203125,4942821,0.0,0.0
2020-01-06 00:00:00+07:00,23657.326171875,23864.482421875,23533.03125,23615.89453125,20503.376953125,2634861,0.0,0.0
2020-01-07 00:00:00+07:00,23740.189453125,24071.640625,23615.89453125,24071.640625,20899.05859375,2020786,0.0,0.0
2020-01-08 00:00:00+07:00,23823.052734375,23905.9140625,23533.03125,23533.03125,20431.43359375,4379022,0.0,0.0
2020-01-09 00:00:00+07:00,23740.189453125,23905.9140625,23657.326171875,23864.482421875,20719.203125,2334099,0.0,0.0
2020-01-10 00:00:00+07:00,23823.052734375,23947.345703125,23657.326171875,23823.052734375,20683.232421875,2458642,0.0,0.0
2020-01-13 00:00:00+07:00,23781.62109375,23864.482421875,23615.89453125,23657.326171875,20539.349609375,1898946,0.0,0.0
2020-01-14 00:00:00+07:00,23657.326171875,23781.62109375,23615.89453125,23615.89453125,20503.376953125,1741867,0.0,0.0
2020-01-15 00:00:00+07:00,23615.89453125,23657.326171875,23533.03125,23615.89453125,20503.376953125,2270910,0.0,0.0
2020-01-16 00:00:00+07:00,23615.89453125,24113.072265625,23615.89453125,24030.208984375,20863.087890625,4689608,0.0,0.0
2020-01-17 00:00:00+07:00,24030.208984375,24071.640625,23615.89453125,23864.482421875,20719.203125,3352071,0.0,0.0
2020-01-20 00:00:00+07:00,23823.052734375,24030.208984375,23698.7578125,23781.62109375,20647.26171875,2961763,0.0,0.0
2020-01-21 00:00:00+07:00,23947.345703125,24030.208984375,22994.423828125,22994.423828125,19963.814453125,10503677,0.0,0.0
2020-01-22 00:00:00+07:00,22787.267578125,23408.73828125,22662.97265625,23408.73828125,20323.51953125,7640703,0.0,0.0
2020-01-23 00:00:00+07:00,23408.73828125,23408.73828125,23408.73828125,23408.73828125,20323.51953125,0,0.0,0.0
2020-01-24 00:00:00+07:00,23408.73828125,23408.73828125,23408.73828125,23408.73828125,20323.51953125,0,0.0,0.0
2020-01-27 00:00:00+07:00,23408.73828125,23408.73828125,23408.73828125,23408.73828125,20323.51953125,0,0.0,0.0
2020-01-28 00:00:00+07:00,23408.73828125,23408.73828125,23408.73828125,23408.73828125,20323.51953125,0,0.0,0.0
2020-01-29 00:00:00+07:00,23408.73828125,23408.73828125,23408.73828125,23408.73828125,20323.51953125,0,0.0,0.0
2020-01-30 00:00:00+07:00,22911.560546875,23118.71875,22331.521484375,22662.97265625,19676.048828125,6368262,0.0,0.0
2020-01-31 00:00:00+07:00,22372.953125,22745.8359375,21544.326171875,21544.326171875,18704.837890625,9939684,0.0,0.0
2020-02-03 00:00:00+07:00,20549.97265625,21751.482421875,20301.3828125,21337.16796875,18524.982421875,8696231,0.0,0.0
2020-02-04 00:00:00+07:00,21710.05078125,21710.05078125,21130.01171875,21461.462890625,18632.896484375,3985962,0.0,0.0
2020-02-05 00:00:00+07:00,21668.619140625,21875.775390625,21544.326171875,21544.326171875,18704.837890625,3979156,0.0,0.0
2020-02-06 00:00:00+07:00,21751.482421875,22207.2265625,21461.462890625,22207.2265625,19280.37109375,4123805,0.0,0.0
2020-02-07 00:00:00+07:00,21958.638671875,22165.796875,21875.775390625,22082.93359375,19172.45703125,2941392,0.0,0.0
2020-02-10 00:00:00+07:00,21710.05078125,21958.638671875,21585.755859375,21792.9140625,18920.662109375,1781475,0.0,0.0
2020-02-11 00:00:00+07:00,21917.20703125,22248.658203125,21834.345703125,22207.2265625,19280.37109375,2619704,0.0,0.0
2020-02-12 00:00:00+07:00,22290.08984375,22662.97265625,22248.658203125,22414.384765625,19460.2265625,2666745,0.0,0.0
2020-02-13 00:00:00+07:00,22414.384765625,22580.109375,22248.658203125,22497.248046875,19532.162109375,2487413,0.0,0.0
2020-02-14 00:00:00+07:00,22414.384765625,22580.109375,22372.953125,22580.109375,19604.10546875,2134226,0.0,0.0
2020-02-17 00:00:00+07:00,22621.541015625,22621.541015625,22372.953125,22455.81640625,19496.193359375,1753235,0.0,0.0
2020-02-18 00:00:00+07:00,22538.677734375,23201.580078125,22497.248046875,23201.580078125,20143.66796875,4250255,0.0,0.0
2020-02-19 00:00:00+07:00,23160.150390625,23284.443359375,22994.423828125,23077.287109375,20035.755859375,1644284,0.0,0.0
2020-02-20 00:00:00+07:00,23243.01171875,23367.306640625,22994.423828125,23118.71875,20071.728515625,1884585,0.0,0.0
2020-02-21 00:00:00+07:00,23160.150390625,23160.150390625,22662.97265625,22662.97265625,19676.048828125,3519167,0.0,0.0
2020-02-24 00:00:00+07:00,22000.0703125,22331.521484375,21751.482421875,21751.482421875,18884.693359375,5459603,0.0,0.0
2020-02-25 00:00:00+07:00,21585.755859375,22372.953125,21544.326171875,22372.953125,19424.251953125,3397713,0.0,0.0
2020-02-26 00:00:00+07:00,22124.365234375,22870.12890625,21958.638671875,22787.267578125,19783.958984375,7774949,0.0,0.0
2020-02-27 00:00:00+07:00,22787.267578125,23408.73828125,22621.541015625,23201.580078125,20143.66796875,7064787,0.0,0.0
2020-02-28 00:00:00+07:00,22787.267578125,23077.287109375,22621.541015625,22828.69921875,19819.935546875,5146338,0.0,0.0
2020-03-02 00:00:00+07:00,22828.69921875,23284.443359375,22704.404296875,23077.287109375,20035.755859375,4313299,0.0,0.0
2020-03-03 00:00:00+07:00,23284.443359375,23615.89453125,23077.287109375,23160.150390625,20107.69921875,2881389,0.0,0.0
2020-03-05 00:00:00+07:00,22994.423828125,23160.150390625,22621.541015625,22621.541015625,19640.078125,3129148,0.0,0.0
2020-03-06 00:00:00+07:00,22455.81640625,22497.248046875,22165.796875,22372.953125,19424.251953125,3149857,0.0,0.0
2020-03-09 00:00:00+07:00,21212.875,21544.326171875,20839.9921875,20839.9921875,18093.333984375,11428869,0.0,0.0
2020-03-10 00:00:00+07:00,21130.01171875,21544.326171875,20839.9921875,21420.03125,18596.923828125,4900486,0.0,0.0
2020-03-11 00:00:00+07:00,21544.326171875,21751.482421875,20508.541015625,21047.1484375,18273.185546875,6645467,0.0,0.0
2020-03-12 00:00:00+07:00,20135.658203125,20425.677734375,19597.048828125,19928.5,17301.970703125,9610272,0.0,0.0
2020-03-13 00:00:00+07:00,18768.421875,20715.697265625,18726.990234375,19949.216796875,17319.9609375,7045719,0.0,0.0
2020-03-16 00:00:00+07:00,19949.216796875,20591.40234375,19679.912109375,19721.34375,17122.1171875,4583384,0.0,0.0
2020-03-17 00:00:00+07:00,19472.755859375,20094.2265625,19265.59765625,20094.2265625,17445.85546875,5972886,0.0,0.0
2020-03-18 00:00:00+07:00,20301.3828125,20342.814453125,20032.080078125,20052.794921875,17409.88671875,3965109,0.0,0.0
2020-03-19 00:00:00+07:00,19721.34375,19928.5,19721.34375,19762.775390625,17158.09375,3129486,0.0,0.0
2020-03-20 00:00:00+07:00,19969.931640625,19990.6484375,19617.765625,19762.775390625,17158.09375,3116863,0.0,0.0
2020-03-23 00:00:00+07:00,19099.873046875,19431.32421875,18395.5390625,18395.5390625,15971.052734375,6822579,0.0,0.0
2020-03-24 00:00:00+07:00,18644.126953125,18644.126953125,18022.65625,18436.970703125,16007.01953125,5289467,0.0,0.0
2020-03-25 00:00:00+07:00,19058.44140625,19224.16796875,18706.275390625,19058.44140625,16546.5859375,5145349,0.0,0.0
2020-03-26 00:00:00+07:00,18851.28515625,18996.294921875,18312.67578125,18312.67578125,15899.109375,5692084,0.0,0.0
2020-03-27 00:00:00+07:00,18395.5390625,18395.5390625,17774.068359375,17856.931640625,15503.4326171875,6356894,0.0,0.0
2020-03-30 00:00:00+07:00,16779.71484375,17028.302734375,16613.98828125,16738.283203125,14532.21875,5207862,0.0,0.0
2020-03-31 00:00:00+07:00,17194.029296875,17566.912109375,16613.98828125,17028.302734375,14784.013671875,4013985,0.0,0.0
2020-04-01 00:00:00+07:00,16904.009765625,17898.36328125,16904.009765625,17525.48046875,15215.6650390625,3507074,0.0,0.0
2020-04-02 00:00:00+07:00,17525.48046875,17525.48046875,17525.48046875,17525.48046875,15215.6650390625,0,0.0,0.0
2020-04-03 00:00:00+07:00,17815.5,18499.1171875,17691.205078125,18478.40234375,16042.994140625,5001038,0.0,0.0
2020-04-06 00:00:00+07:00,19058.44140625,19679.912109375,18851.28515625,19679.912109375,17086.1484375,6562632,0.0,0.0
2020-04-07 00:00:00+07:00,19679.912109375,19762.775390625,19265.59765625,19597.048828125,17014.205078125,5946722,0.0,0.0
2020-04-08 00:00:00+07:00,19099.873046875,19493.470703125,18954.86328125,19410.607421875,16852.337890625,3805495,0.0,0.0
2020-04-09 00:00:00+07:00,19472.755859375,19721.34375,19265.59765625,19410.607421875,16852.337890625,5170885,0.0,0.0
2020-04-10 00:00:00+07:00,19307.029296875,19472.755859375,19017.009765625,19224.16796875,16690.47265625,4542497,0.0,0.0
2020-04-13 00:00:00+07:00,19224.16796875,19472.755859375,19099.873046875,19265.59765625,16726.44140625,3029972,0.0,0.0
2020-04-14 00:00:00+07:00,19721.34375,20508.541015625,19472.755859375,20508.541015625,17805.56640625,9828416,0.0,0.0
2020-04-15 00:00:00+07:00,20922.853515625,21047.1484375,20653.55078125,20757.12890625,18021.388671875,5322533,0.0,0.0
2020-04-16 00:00:00+07:00,20591.40234375,21047.1484375,20425.677734375,20839.9921875,18093.333984375,3640910,0.0,0.0
2020-04-17 00:00:00+07:00,21212.875,21254.3046875,20798.560546875,21212.875,18417.0703125,6351777,0.0,0.0
2020-04-20 00:00:00+07:00,21502.89453125,21544.326171875,21005.716796875,21254.3046875,18453.0390625,5405997,0.0,0.0
2020-04-21 00:00:00+07:00,20922.853515625,21088.580078125,20259.951171875,20425.677734375,17733.625,9019850,0.0,0.0
2020-04-22 00:00:00+07:00,20218.521484375,21212.875,20177.08984375,21171.443359375,18381.095703125,5903397,0.0,0.0
2020-04-23 00:00:00+07:00,21585.755859375,21627.1875,21130.01171875,21130.01171875,18345.12890625,3290765,0.0,0.0
2020-04-24 00:00:00+07:00,21088.580078125,21212.875,20757.12890625,21130.01171875,18345.12890625,3406547,0.0,0.0
