Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2020-12-09 00:00:00+07:00,10464.400390625,10780.9384765625,10352.6806640625,10631.9794921875,9038.1865234375,64986634,0.0,0.0
2020-12-10 00:00:00+07:00,10725.0791015625,10725.0791015625,10389.919921875,10408.5400390625,8848.2412109375,24795341,0.0,0.0
2020-12-11 00:00:00+07:00,10464.400390625,10520.259765625,10352.6806640625,10501.6396484375,8927.384765625,11975931,0.0,0.0
2020-12-14 00:00:00+07:00,10538.8798828125,10613.359375,10464.400390625,10501.6396484375,8927.384765625,19672363,0.0,0.0
2020-12-15 00:00:00+07:00,10501.6396484375,10520.259765625,10389.919921875,10427.16015625,8864.0703125,19617395,0.0,0.0
2020-12-16 00:00:00+07:00,10427.16015625,10594.7392578125,10427.16015625,10520.259765625,8943.2138671875,28092078,0.0,0.0
2020-12-17 00:00:00+07:00,10464.400390625,10743.69921875,10445.7802734375,10538.8798828125,8959.0439453125,36432174,0.0,0.0
2020-12-18 00:00:00+07:00,10594.7392578125,10669.21875,10538.8798828125,10576.119140625,8990.69921875,31400845,0.0,0.0
2020-12-21 00:00:00+07:00,10613.359375,10911.2783203125,10557.5,10780.9384765625,9164.81640625,60369833,0.0,0.0
2020-12-22 00:00:00+07:00,10780.9384765625,10799.55859375,10650.599609375,10706.458984375,9101.5009765625,20336517,0.0,0.0
2020-12-23 00:00:00+07:00,10725.0791015625,10743.69921875,10427.16015625,10464.400390625,8895.7294921875,30120577,0.0,0.0
2020-12-24 00:00:00+07:00,10464.400390625,10538.8798828125,9868.5625,10166.4814453125,8642.4697265625,42511575,0.0,0.0
2020-12-25 00:00:00+07:00,10166.4814453125,10427.16015625,10129.2412109375,10408.5400390625,8848.2412109375,24688816,0.0,0.0
2020-12-28 00:00:00+07:00,10538.8798828125,10538.8798828125,10296.8203125,10352.6806640625,8800.7568359375,16712416,0.0,0.0
2020-12-29 00:00:00+07:00,10352.6806640625,10408.5400390625,10278.2001953125,10315.4404296875,8769.0986328125,17459572,0.0,0.0
2020-12-30 00:00:00+07:00,10334.060546875,10501.6396484375,10334.060546875,10352.6806640625,8800.7568359375,18102351,0.0,0.0
2020-12-31 00:00:00+07:00,10389.919921875,10538.8798828125,10371.2998046875,10464.400390625,8895.7294921875,18192013,0.0,0.0
2021-01-01 00:00:00+07:00,10464.400390625,10464.400390625,10464.400390625,10464.400390625,8895.7294921875,0,0.0,0.0
2021-01-04 00:00:00+07:00,10631.9794921875,10743.69921875,10613.359375,10669.21875,9069.84375,2893754,0.0,0.0
2021-01-05 00:00:00+07:00,10650.599609375,11022.998046875,10538.8798828125,10929.8984375,9291.4453125,5019863,0.0,0.0
2021-01-06 00:00:00+07:00,11060.2373046875,11395.396484375,10911.2783203125,11134.7177734375,9465.5615234375,4265295,0.0,0.0
2021-01-07 00:00:00+07:00,11134.7177734375,11171.95703125,11022.998046875,11134.7177734375,9465.5615234375,3124636,0.0,0.0
2021-01-08 00:00:00+07:00,11153.3369140625,11320.9169921875,11097.4775390625,11246.4365234375,9560.533203125,4167389,0.0,0.0
